🚒 fire engine emoji	fire department, fire truck	1f692
🚓 police car emoji	cop car, side of police car	1f693
🚔 oncoming police car emoji	u+1f694	1f694
🚕 taxi emoji	new york taxi, side of taxi, taxicab	1f695
🚖 oncoming taxi emoji	front of taxi, taxicab	1f696
🚗 automobile emoji	car, red car, side of car	1f697
🚘 oncoming automobile emoji	front of car	1f698
🚙 recreational vehicle emoji	campervan, motorhome, rv	1f699
🚚 delivery truck emoji	u+1f69a	1f69a
🚛 articulated lorry emoji	green truck, truck	1f69b
🚜 tractor emoji	farm, farming	1f69c
🚝 monorail emoji	u+1f69d	1f69d
🚞 mountain railway emoji	funicular, train and mountain	1f69e
🚟 suspension railway emoji	u+1f69f	1f69f
🚠 mountain cableway emoji	u+1f6a0	1f6a0
🚡 aerial tramway emoji	cable car, gondola, ropeway	1f6a1
🚢 ship emoji	cruise line vacation, cruise, cruise ship	1f6a2
🚣 rowboat emoji	boat with paddles, rowing	1f6a3
🚤 speedboat emoji	motorboat, powerboat	1f6a4
🚥 horizontal traffic light emoji	traffic light	1f6a5
🚦 vertical traffic light emoji	traffic light	1f6a6
🚧 construction sign emoji	black and yellow striped sign, roadwork, roadwork sign	1f6a7
🚨 police cars revolving light emoji	rotating beacon, flashing light, police siren, siren	1f6a8
🚩 triangular flag on post emoji	location information, flag on pole, red flag	1f6a9
🚪 door emoji	exit, doorway, front door	1f6aa
🚫 no entry sign emoji	banned, circle backslash, no, red circle crossed, restricted	1f6ab
🚬 smoking symbol emoji	cigarette, smoke	1f6ac
🚭 no smoking symbol emoji	u+1f6ad	1f6ad
🚮 put litter in its place symbol emoji	person with trash, put litter in trash	1f6ae
🚯 do not litter symbol emoji	u+1f6af	1f6af
🚰 potable water symbol emoji	thirst, thirsty, water tap	1f6b0
🚱 non-potable water symbol emoji	no drinking water, no water	1f6b1
🚲 bicycle emoji	bike, push bike	1f6b2
🚳 no bicycles emoji	no bikes sign	1f6b3
🚴 bicyclist emoji	u+1f6b4	1f6b4
🚵 mountain bicyclist emoji	mountain bike, person on bike	1f6b5
🚶 pedestrian emoji	walking, walker	1f6b6
🚷 no pedestrians emoji	no people, no walking	1f6b7
🚸 children crossing emoji	kids crossing, school crossing	1f6b8
🚹 mens symbol emoji	man symbol, men's restroom, male restroom, mens toilet	1f6b9
