𝒾	mathematical script small i 	u+1d4be	1d4be
𝒿	mathematical script small j 	u+1d4bf	1d4bf
𝓀	mathematical script small k 	u+1d4c0	1d4c0
𝓁	mathematical script small l 	u+1d4c1	1d4c1
𝓂	mathematical script small m 	u+1d4c2	1d4c2
𝓃	mathematical script small n 	u+1d4c3	1d4c3
𝓄	defined in unicode	u+1d4c4	1d4c4
𝓅	mathematical script small p 	u+1d4c5	1d4c5
𝓆	mathematical script small q 	u+1d4c6	1d4c6
𝓇	mathematical script small r 	u+1d4c7	1d4c7
𝓈	mathematical script small s 	u+1d4c8	1d4c8
𝓉	mathematical script small t 	u+1d4c9	1d4c9
𝓊	mathematical script small u 	u+1d4ca	1d4ca
𝓋	mathematical script small v 	u+1d4cb	1d4cb
𝓌	mathematical script small w 	u+1d4cc	1d4cc
𝓍	mathematical script small x 	u+1d4cd	1d4cd
𝓎	mathematical script small y 	u+1d4ce	1d4ce
𝓏	mathematical script small z 	u+1d4cf	1d4cf
𝓐	mathematical bold script capital a 	u+1d4d0	1d4d0
𝓑	mathematical bold script capital b 	u+1d4d1	1d4d1
𝓒	mathematical bold script capital c 	u+1d4d2	1d4d2
𝓓	mathematical bold script capital d 	u+1d4d3	1d4d3
𝓔	mathematical bold script capital e 	u+1d4d4	1d4d4
𝓕	mathematical bold script capital f 	u+1d4d5	1d4d5
𝓖	mathematical bold script capital g 	u+1d4d6	1d4d6
𝓗	mathematical bold script capital h 	u+1d4d7	1d4d7
𝓘	mathematical bold script capital i 	u+1d4d8	1d4d8
𝓙	mathematical bold script capital j 	u+1d4d9	1d4d9
𝓚	mathematical bold script capital k 	u+1d4da	1d4da
𝓛	mathematical bold script capital l 	u+1d4db	1d4db
𝓜	mathematical bold script capital m 	u+1d4dc	1d4dc
𝓝	mathematical bold script capital n 	u+1d4dd	1d4dd
𝓞	mathematical bold script capital o 	u+1d4de	1d4de
𝓟	mathematical bold script capital p 	u+1d4df	1d4df
𝓠	mathematical bold script capital q 	u+1d4e0	1d4e0
𝓡	mathematical bold script capital r 	u+1d4e1	1d4e1
𝓢	mathematical bold script capital s 	u+1d4e2	1d4e2
𝓣	mathematical bold script capital t 	u+1d4e3	1d4e3
𝓤	mathematical bold script capital u 	u+1d4e4	1d4e4
𝓥	mathematical bold script capital v 	u+1d4e5	1d4e5
𝓦	mathematical bold script capital w 	u+1d4e6	1d4e6
𝓧	mathematical bold script capital x 	u+1d4e7	1d4e7
𝓨	mathematical bold script capital y 	u+1d4e8	1d4e8
𝓩	mathematical bold script capital z 	u+1d4e9	1d4e9
𝓪	mathematical bold script small a 	u+1d4ea	1d4ea
𝓫	mathematical bold script small b 	u+1d4eb	1d4eb
𝓬	mathematical bold script small c 	u+1d4ec	1d4ec
𝓭	mathematical bold script small d 	u+1d4ed	1d4ed
𝓮	mathematical bold script small e 	u+1d4ee	1d4ee
𝓯	mathematical bold script small f 	u+1d4ef	1d4ef
𝓰	mathematical bold script small g 	u+1d4f0	1d4f0
𝓱	mathematical bold script small h 	u+1d4f1	1d4f1
𝓲	mathematical bold script small i 	u+1d4f2	1d4f2
𝓳	mathematical bold script small j 	u+1d4f3	1d4f3
𝓴	mathematical bold script small k 	u+1d4f4	1d4f4
𝓵	mathematical bold script small l 	u+1d4f5	1d4f5
𝓶	mathematical bold script small m 	u+1d4f6	1d4f6
𝓷	mathematical bold script small n 	u+1d4f7	1d4f7
𝓸	mathematical bold script small o 	u+1d4f8	1d4f8
𝓹	mathematical bold script small p 	u+1d4f9	1d4f9
𝓺	mathematical bold script small q 	u+1d4fa	1d4fa
𝓻	mathematical bold script small r 	u+1d4fb	1d4fb
𝓼	mathematical bold script small s 	u+1d4fc	1d4fc
𝓽	mathematical bold script small t 	u+1d4fd	1d4fd
𝓾	mathematical bold script small u 	u+1d4fe	1d4fe
𝓿	mathematical bold script small v 	u+1d4ff	1d4ff
𝔀	mathematical bold script small w 	u+1d500	1d500
𝔁	mathematical bold script small x 	u+1d501	1d501
𝔂	mathematical bold script small y 	u+1d502	1d502
𝔃	mathematical bold script small z 	u+1d503	1d503
𝔄	mathematical fraktur capital a 	u+1d504	1d504
𝔅	mathematical fraktur capital b 	u+1d505	1d505
𝔆	defined in unicode	u+1d506	1d506
𝔇	mathematical fraktur capital d 	u+1d507	1d507
